% Model:              interlockedDomes.mph
% Version:            COMSOL 6.4.0.378
% Date:               May 24 2026, 16:37
% Table:              Table 2 - Contact area 
% disp (m)               Contact area (m^2)
1.6666666666666667E-8    8.651295923377256E-13
3.3333333333333334E-8    1.364762590804429E-12
5.0E-8                   1.634220270087079E-12
6.666666666666667E-8     2.2006216800489817E-12
8.333333333333334E-8     2.726584603078066E-12
1.0000000000000001E-7    3.1526351954281726E-12
1.1666666666666667E-7    3.8157108198943175E-12
1.3333333333333334E-7    4.085151575003607E-12
1.5E-7                   4.527281102042471E-12
1.6666666666666665E-7    5.146053250970995E-12
1.8333333333333333E-7    5.74157524273876E-12
2.0E-7                   6.396176645633863E-12
2.1666666666666665E-7    6.643275790723922E-12
2.3333333333333333E-7    7.344754075254924E-12
2.5E-7                   7.777422176855008E-12
2.6666666666666667E-7    8.35560996547201E-12
2.8333333333333336E-7    8.853511556310218E-12
3.0000000000000004E-7    9.376104372879663E-12
3.1666666666666667E-7    9.945507153677435E-12
3.3333333333333335E-7    1.0563302878361576E-11
3.5000000000000004E-7    1.1092810720247623E-11
3.6666666666666667E-7    1.1349273997819971E-11
3.8333333333333335E-7    1.1689016176750087E-11
4.0000000000000003E-7    1.2508508351565327E-11
4.1666666666666667E-7    1.3449953598479052E-11
4.3333333333333335E-7    1.4118722666911236E-11
4.5000000000000003E-7    1.4709826432661307E-11
4.666666666666667E-7     1.525491655329114E-11
4.833333333333333E-7     1.5795758113870905E-11
5.0E-7                   1.6366738535124297E-11
