% Model:              interlockedDomes.mph
% Version:            COMSOL 6.4.0.378
% Date:               May 24 2026, 15:36
% Table:              Table 1 - Pressure-Current
% disp (m)               Current (A)              Pressure (N/m^2)
1.6666666666666667E-8    1.2687118815008686E-6    377.8909383338772
3.3333333333333334E-8    1.4373760116948918E-6    908.9901312714768
5.0E-8                   1.504734182034864E-6     1549.9736012542526
6.666666666666667E-8     1.6271566943127935E-6    2291.2094275918707
8.333333333333334E-8     1.7016953505833338E-6    3202.051800071318
1.0000000000000001E-7    1.7513992040978168E-6    4205.2667866464935
1.1666666666666667E-7    1.8205365545993834E-6    5322.408580142031
1.3333333333333334E-7    1.865343710802408E-6     6522.677669545868
1.5E-7                   1.9224316492135585E-6    7779.0815729964415
1.6666666666666665E-7    1.9609203396947317E-6    9108.838372073185
1.8333333333333333E-7    1.9974988456645794E-6    10534.116777078005
2.0E-7                   2.0637204639696503E-6    12059.033528390886
2.1666666666666665E-7    2.0743240142106514E-6    13673.597854574871
2.3333333333333333E-7    2.112551231916091E-6     15307.21683990721
2.5E-7                   2.1264931568403186E-6    17035.261337455515
2.6666666666666667E-7    2.16856140348661E-6      18819.720523500546
2.8333333333333336E-7    2.1826479582666737E-6    20668.132253831678
3.0000000000000004E-7    2.205227798921667E-6     22583.272947662754
3.1666666666666667E-7    2.2364878237118402E-6    24544.36531232233
3.3333333333333335E-7    2.262319273681205E-6     26575.78562784991
3.5000000000000004E-7    2.300801303526886E-6     28665.48613993594
3.6666666666666667E-7    2.340553458916221E-6     30759.166906379683
3.8333333333333335E-7    2.3652528995424377E-6    32840.81956383232
4.0000000000000003E-7    2.3885701174522133E-6    34961.20484730881
4.1666666666666667E-7    2.4093024571629533E-6    37194.49897953156
4.3333333333333335E-7    2.4291947403499334E-6    39517.04488512609
4.5000000000000003E-7    2.461586455740056E-6     41892.70315812191
4.666666666666667E-7     2.483355729817045E-6     44304.381707577915
4.833333333333333E-7     2.510273404226883E-6     46736.946253119204
5.0E-7                   2.5341391003035215E-6    49202.130407864606
